"selec","View","Channel","bottom.freq","top.freq","Peak Freq (Hz)","Delta Time (s)","Delta Freq (Hz)","start","end","Adulto","Polluelo","Clicks","Sobrelapamiento","Lejos","Agua/Viento","Otro animal","selec.file","sound.files"
12,"Spectrogram 1",1,0,10.18658,990.527,0.8528,10186.58,178.815399283,179.668153488,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-16.Table.1.selections.txt","ZOOM0002_TrLR-16.wav"
1,"Spectrogram 1",1,0,10.62292,473.73,0.0497,10622.92,91.55238466,91.602059513,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
2,"Spectrogram 1",1,0,10.794257,1636.523,0.0452,10794.257,91.814306615,91.859465573,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
3,"Spectrogram 1",1,0,10.62292,1894.922,0.0452,10622.92,92.071712675,92.116871632,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
4,"Spectrogram 1",1,0,10.794257,3229.98,0.0497,10794.257,92.33363463,92.383309484,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
5,"Spectrogram 1",1,0,10.451582,1894.922,0.0768,10451.582,92.604588377,92.681358605,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
6,"Spectrogram 1",1,0,10.794257,3488.379,0.0632,10794.257,92.88005802,92.943280561,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
7,"Spectrogram 1",1,0,10.451582,1894.922,0.0858,10451.582,93.20068662,93.28648864,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
8,"Spectrogram 1",1,0,4.797448,645.996,0.0858,4797.448,93.494219846,93.580021866,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
9,"Spectrogram 1",1,0,5.140122,732.129,0.0497,5140.122,93.710982844,93.760657697,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
10,"Spectrogram 1",1,0,4.112098,1679.59,0.0542,4112.098,93.855491509,93.909682258,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
11,"Spectrogram 1",1,0,3.94076,1937.988,0.0542,3940.76,93.990968382,94.045159132,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
12,"Spectrogram 1",1,0,3.769423,645.996,0.0587,3769.423,94.144508839,94.203215484,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
13,"Spectrogram 1",1,0,3.255411,1679.59,0.0542,3255.411,94.311596983,94.365787732,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
14,"Spectrogram 1",1,0,3.255411,732.129,0.0406,3255.411,94.641257375,94.681900437,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
15,"Spectrogram 1",1,0,3.255411,689.062,0.0497,3255.411,94.781250144,94.830924998,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
16,"Spectrogram 1",1,0,4.112098,559.863,0.0632,4112.098,94.993497246,95.056719787,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
17,"Spectrogram 1",1,0,9.93757,516.797,0.0542,9937.57,96.601155054,96.655345804,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
18,"Spectrogram 1",1,0,9.93757,1937.988,0.0632,9937.57,96.835981635,96.899204176,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
20,"Spectrogram 1",1,0,10.794257,990.527,0.7361,10794.257,97.328214275,98.064305288,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
21,"Spectrogram 1",1,0,10.62292,4952.637,0.0723,10622.92,98.082368871,98.154623204,"y","n","n","n","n","n","n","1/ZOOM0002_TrLR-26.Table.1.selections.txt","ZOOM0002_TrLR-26.wav"
