"UMAP1","UMAP2","type","pred.type","group"
0.0751849700898371,3.77836988458012,"X2.partes","X3.partes",6
0.0847885506279379,3.94487988968972,"X2.partes","X3.partes",6
-0.0288465222122876,3.78510916532679,"X2.partes","X3.partes",6
0.29973233755835,3.5812116525656,"X2.partes","X3.partes",6
-1.96856113752007,2.97873778201327,"X2.partes","X1.parte",6
1.1747891505387,2.88272381902451,"X1.parte","X2.partes",2
-2.24703230695453,-6.03070182139392,"Cacareo","Corto",1
-2.2894258058232,-6.10699088940081,"Cacareo","Corto",1
-0.259617050703488,3.70699915962278,"X3.partes","X4.partes",6
-0.164422193879277,3.64939943001018,"X2.partes","X3.partes",6
0.284633597073415,3.5818490858634,"X2.partes","X3.partes",6
-2.26912718006554,-6.18320420255901,"Cacareo","Cacareo",1
-2.31363516962725,-6.13622379300398,"Cacareo","Cacareo",1
-2.25486221171658,-6.1373055193658,"Cacareo","Cacareo",1
-2.29881214609177,-6.13526898731266,"Cacareo","Cacareo",1
-2.05790072537334,-5.57452322055317,"Cacareo","Corto",1
-2.14543129151999,-6.07194054905319,"Cacareo","Cacareo",1
-1.92597416159218,-5.46155438747521,"Cacareo","Corto",1
-1.49886093589938,-5.51342149133291,"Cacareo","Cacareo",1
-2.18734352861998,-6.15612797770892,"Cacareo","Cacareo",1
-2.1506765102216,-6.18834992208291,"Cacareo","Cacareo",1
-2.1993413975135,-6.09474579020441,"Cacareo","Cacareo",1
-2.13749849299688,-6.15121095989463,"Cacareo","Cacareo",1
-2.14498240969695,-6.26646275495567,"Cacareo","Cacareo",1
-2.11760064195969,-6.27591127435574,"Cacareo","Cacareo",1
-2.1804639781528,-6.182578332885,"Cacareo","Cacareo",1
-1.43015509350145,-5.66449672909605,"Cacareo","Cacareo",1
-2.1737405082786,-6.15742439888809,"Cacareo","Cacareo",1
-2.01502274395443,-5.62948259684305,"Cacareo","Cacareo",1
-1.38314852231406,3.53164398298441,"X4.partes","X4.partes",6
-1.89906750304677,-5.57413709016233,"Cacareo","Cacareo",1
-2.2278380973127,-6.09820053807307,"Cacareo","Cacareo",1
-1.5674090547883,3.68827279722501,"X1.parte","X1.parte",6
-2.27105975587169,-6.13318351790165,"Cacareo","Cacareo",1
-2.0791518801202,-6.29027790118683,"Cacareo","Cacareo",1
-0.0371561451094257,3.88213350100438,"Bajo","X3.partes",6
0.532804153900828,0.302312014525738,"Prefijo","Prefijo",2
2.47597932941779,1.60149173318683,"Bajo","Bajo",7
-0.00847382021514936,1.76693027564638,"Prefijo","Inicio.retrasado",2
0.95915043329984,0.661406691263513,"Prefijo","Prefijo",2
2.70657702552984,3.34271916188773,"Bajo","Bajo",7
1.76130528820327,0.625642982352558,"Prefijo","Prefijo",2
-1.39930259033449,0.825119193024357,"X2.partes","Prefijo",6
3.03640831183107,0.760073449229336,"Medio","Bajo",9
0.288708101395438,0.56719862491916,"Lleno","Prefijo",2
0.378229457159741,0.607402782654474,"Lleno","Prefijo",2
1.89357746976681,3.40841969457036,"Lleno","Bajo",2
-2.24362533322417,4.9340914447974,"X4.partes","X5.partes",3
-1.85912230431456,2.69687195109078,"X2.partes","X2.partes",6
2.4557295114943,0.785626286746737,"Medio","Medio",7
-0.284893979413097,3.17117469616282,"X2.partes","X2.partes",6
3.2221822812666,0.755641801202197,"Medio","Bajo",9
-0.24983786327861,4.06619176322485,"X2.partes","X3.partes",6
-2.10661526525859,4.97366151282246,"Inicio.retrasado","Inicio.retrasado",3
1.279854423339,-0.852027684215335,"Prefijo","Medio",9
2.77602161209303,3.37255999465458,"Bajo","Inicio.retrasado",7
0.608732098294861,-4.7380429524637,"Medio","Medio",8
1.14973183336879,0.578544981517545,"Prefijo","Prefijo",2
1.47007365815637,4.00315492261527,"X2.partes","X2.partes",2
-2.13295692615414,5.03170500532309,"X4.partes","X4.partes",3
0.952193261165381,0.412487298535303,"Prefijo","Prefijo",2
2.54685465619271,1.02704567159466,"Bajo","Bajo",7
3.29669409942007,0.782552252904312,"Medio","Bajo",9
0.945546934975425,0.52662298292134,"Prefijo","Prefijo",2
2.03113217740032,3.75380026867162,"Bajo","Bajo",2
-0.212384700592159,3.90650391188593,"X3.partes","X3.partes",6
1.27025644550472,3.77243379340549,"X2.partes","X5.partes",2
1.17485142229206,-2.31608946623265,"Bajo","Inicio.Corto",9
1.53853920123893,0.466565411639751,"Prefijo","Prefijo",2
1.37088110926221,3.58789971222846,"X2.partes","Bajo",2
-2.16161376884898,5.00415673585072,"X4.partes","X4.partes",3
1.51183315926877,3.19970751930037,"X2.partes","Bajo",2
-0.422186421062053,-2.84889223538755,"Prefijo","Medio.corto",4
-2.12517892753352,5.00860708228811,"X4.partes","X4.partes",3
-2.04072846338644,5.00544464595352,"X4.partes","X4.partes",3
2.22855571128103,1.5894524465924,"X2.partes","Inicio.retrasado",7
1.0231693638735,0.526722930939199,"Prefijo","Prefijo",2
2.06056024480847,0.814236463067874,"Medio","Bajo",2
1.39946959723971,3.71697274118624,"Inicio.retrasado","Bajo",2
-0.940299400510939,1.52628728723167,"X2.partes","X2.partes",6
-0.767785555052108,1.73133888485681,"X3.partes","X2.partes",6
-3.41840222016715,2.60650797887996,"X1.parte","X1.parte",6
-1.41429549382751,0.816260257083192,"X2.partes","Prefijo",6
-2.30697391715594,3.68655533032888,"Prefijo","X4.partes",3
-2.39173468428719,4.90221186930865,"X4.partes","X4.partes",3
-2.38288363747774,4.89100631452706,"X4.partes","X4.partes",3
0.955292507011278,0.602644006915519,"Prefijo","Prefijo",2
3.30773076950136,0.778437974397367,"Bajo","Bajo",9
-1.12975907731391,1.7577429140563,"Lleno","Lleno",6
-0.0349292391024574,1.5129163422731,"X2.partes","X3.partes",2
0.486386257200965,0.956054158723522,"Prefijo","Prefijo",2
-2.65178499352515,1.93782157465065,"X1.parte","X1.parte",6
-1.06492385472243,1.62455718656898,"Lleno","Lleno",6
0.265279185965396,3.48951980495641,"X2.partes","X3.partes",6
-1.50676286971032,-4.9834384985768,"Corto","Cacareo",1
0.881578065953182,0.715472496936781,"X3.partes","X3.partes",2
-1.26008287477165,1.28349657390838,"X2.partes","X1.parte",6
0.0455624980106964,-0.000803011095487804,"Prefijo","Prefijo",2
0.201885338284805,-0.0297569449498658,"Prefijo","Prefijo",2
3.13480482780365,0.919671015413893,"Bajo","Bajo",9
1.42955239147321,3.49057082007199,"X2.partes","Bajo",2
-0.948460903913457,3.90196293321791,"Prefijo","X4.partes",6
-0.23100263110384,1.24060448966739,"Inicio.retrasado","Inicio.retrasado",2
-2.92948940523372,2.24455036194187,"X1.parte","X1.parte",3
-2.4195328389332,4.8784236678946,"X4.partes","X4.partes",3
-0.172658179937429,3.81858940888431,"X2.partes","X2.partes",6
0.833355839087266,1.55002920004087,"Inicio.Corto","X5.partes",2
0.526938667740636,3.75193361348633,"X2.partes","X2.partes",6
-2.94853678777289,2.41096758097485,"X1.parte","X1.parte",6
-3.45798522302399,2.66483965009162,"X1.parte","X1.parte",6
-3.51136790777757,2.67722245315351,"X1.parte","X1.parte",6
-3.53482306006529,2.66160168764398,"X1.parte","X1.parte",6
-0.897312054872479,4.10052934238093,"X4.partes","X5.partes",6
1.06480723062213,3.76602769440782,"X2.partes","X3.partes",2
1.40969794272358,3.99432232255397,"Inicio.retrasado","Inicio.retrasado",2
-2.10536259019062,1.86050578714192,"X1.parte","X1.parte",6
-1.3718322424334,3.01134998685199,"X2.partes","X1.parte",6
1.72536094511793,3.25850333308051,"X2.partes","Bajo",2
1.6105706280717,3.33897487081744,"X3.partes","X3.partes",2
2.82800042458011,0.847978216827418,"Prefijo","Bajo",9
0.676082599216542,2.28225407874105,"X1.parte","Inicio.retrasado",2
-0.60823900260327,2.68128923040673,"X2.partes","X2.partes",6
2.26777085191806,0.941084602346758,"Medio","Medio",7
1.93917240340571,3.39730172079153,"X3.partes","X3.partes",2
2.77999579205424,0.678044567210908,"Medio","Medio",9
-0.642313925425467,-2.43263517561757,"Medio.corto","Prefijo",5
-0.210291871552955,-2.71536704646798,"Medio.corto","Medio.corto",5
1.36440996344484,2.44627646382015,"Medio.corto","Lleno",2
0.0373852076802124,-2.12478748097312,"Medio.corto","Medio.corto",4
-1.33909788638674,-5.25254657912886,"Corto","Cacareo",1
-0.450809397886037,-5.40585537443953,"Cacareo","Cacareo",8
-1.3165371960457,-5.77069346858695,"Cacareo","Corto",8
-1.47913844047781,-5.74320984412514,"Cacareo","Corto",1
-1.72515042458759,-4.99356867015372,"Cacareo","Cacareo",1
-1.13242639098342,-5.35376785333238,"Cacareo","Cacareo",8
-1.29137935252234,-5.30142328678052,"Cacareo","Corto",1
-0.960332826719831,-4.81032011975078,"Cacareo","Cacareo",1
-0.434194579122606,-3.82369643382623,"Cacareo","Corto",4
-0.843062907072478,-5.38253070937293,"Cacareo","Corto",8
-0.647263070520348,-3.47200170070856,"Cacareo","Corto",4
0.527951902285554,-3.41469150535198,"Cacareo","Medio.corto",5
-0.272777279072053,-4.2844588131551,"Cacareo","Cacareo",4
0.547525713304068,-3.20570788389502,"Medio.corto","Medio.corto",5
-0.699622325302261,-5.26976089164647,"Corto","Corto",8
1.26265072115149,-1.60519081097574,"Corto","Inicio.Corto",9
1.72743377845459,-1.30767189812437,"Corto","Inicio.Corto",9
-1.10363903459092,-5.15620584610612,"Corto","Corto",8
-0.666793643600776,-5.3264283149853,"Corto","Corto",8
-1.14146228677836,-4.95566479360861,"Corto","Corto",1
-1.76846585012752,-5.40054560874108,"Corto","Corto",1
-1.35517128412782,-5.40629025475598,"Corto","Cacareo",1
-1.41958627465238,-4.83016063657888,"Corto","Corto",1
-1.40475001248293,-5.40036939754779,"Corto","Corto",1
-1.23681493873908,-5.19899425478399,"Corto","Corto",1
-2.24179960379366,-6.27710883732039,"Corto","Cacareo",1
-1.49998478393829,-5.71113345039426,"Corto","Cacareo",1
-1.07756253131782,-5.16862840162006,"Corto","Cacareo",8
-1.01642361013079,-5.49277068487925,"Corto","Cacareo",8
-1.17063213731664,-5.10303171078164,"Corto","Corto",1
-1.13423165165252,-4.75433796543022,"Corto","Corto",1
-0.586892459265306,-3.95785092754107,"Corto","Corto",4
-0.63672069064058,-3.85242416208215,"Corto","Corto",4
-1.29083300288001,-5.15572893662174,"Corto","Corto",1
-1.19113537484672,-5.26923471324705,"Corto","Corto",1
-1.16381887174573,-5.52094467517831,"Corto","Cacareo",8
-1.44023800495472,-5.60384022097772,"Corto","Cacareo",1
-1.07525451656674,-5.16795246205946,"Corto","Corto",8
-1.20142799303548,-5.47139867580921,"Corto","Corto",8
-1.13071694658677,-5.25277895576875,"Corto","Corto",8
-2.17658011412133,-6.24882494399651,"Corto","Cacareo",1
-1.19085945962345,-4.80468440782681,"Corto","Cacareo",1
-1.26351361093005,-5.01199475914524,"Corto","Cacareo",1
-0.701435670538662,-3.9009872163626,"Corto","Corto",4
-0.81931925309722,-3.11727443947751,"Corto","Corto",4
-1.58914155006756,-5.73240694736523,"Corto","Cacareo",1
-1.68615222803485,-5.73621539489744,"Corto","Corto",1
-1.7160190942033,-5.6845215546981,"Corto","Cacareo",1
-1.33120232424171,-5.35768890800835,"Corto","Cacareo",1
3.36703353910768,0.754683336474556,"Bajo","Bajo",9
1.13812787067094,0.819496474345644,"Prefijo","Bajo",2
-0.171970108188801,-0.980672491807024,"X4.partes","Prefijo",4
0.210384103319098,3.17427848606158,"X3.partes","X5.partes",6
0.789814837650706,3.81003271032466,"X2.partes","X5.partes",2
1.70054123649254,1.76909408543827,"X3.partes","Bajo",2
-1.00450481405465,3.79973765762729,"X4.partes","X5.partes",6
-0.32359411593817,4.09002182002513,"X2.partes","X4.partes",6
-2.93287375616247,3.1671480792897,"X4.partes","X4.partes",6
-1.67666460553237,4.07713910047953,"X4.partes","X4.partes",6
-0.567840547759226,1.44607243825119,"X3.partes","Prefijo",6
-3.61559945551688,2.75174603497247,"X4.partes","X1.parte",6
2.15004544113533,2.52906474903614,"X1.parte","Medio",2
0.212008839672249,1.63865597707149,"Inicio.retrasado","Inicio.retrasado",2
0.673848029993091,2.09961080748206,"X2.partes","X3.partes",2
-0.0594083800793464,-5.46186902870915,"Cacareo","Cacareo",8
-0.725349550879882,-5.62005215920663,"Cacareo","Cacareo",8
0.233061194223414,-5.28046161530754,"Cacareo","Cacareo",8
-0.577369121942849,-5.43997818521924,"Cacareo","Cacareo",8
-0.883539529319364,-5.67862743616012,"Cacareo","Cacareo",8
-1.70580487671392,3.51862581434012,"X2.partes","X1.parte",6
-3.59946131073087,2.69559882597192,"X1.parte","X1.parte",6
0.651428202618548,0.869175508302789,"Prefijo","Prefijo",2
-3.55651552560514,2.63487894388574,"X1.parte","X1.parte",6
-1.72028926492832,1.75221193090961,"Prefijo","X4.partes",6
2.59577482170106,3.4926521268472,"Inicio.retrasado","Inicio.retrasado",7
